Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Darius Jankauskas 7 8 8 4 5 3 9 7 6 9 1
Kazys Stankevicius 7 6 8 10 7 6 7 9 8 7 1
Marius Zukauskas 3 6 9 7 3 9 4 10 5 10 5
Paulius Kavaliauskas 2 1 6 1 5 3 3 2 6 1 3
Paulius Kazlauskas 4 7 5 9 1 9 9 5 2 8 10
Lukas Kavolis 4 10 10 1 2 10 1 7 6 10 1
Mantas Petraitis 8 2 6 5 3 9 2 8 8 10 3
Marius Jonaitis 8 6 3 1 2 2 2 5 7 2 3
Antanas Brazinskas 1 10 6 6 6 10 2 3 4 1 8
Kazys Petraitis 4 10 5 6 4 10 6 9 8 8 6
Antanas Petraitis 7 4 7 7 7 1 2 2 3 7 5
Jonas Kavaliauskas 2 10 5 6 5 1 10 4 2 7 9
Kazys Kavaliauskas 3 5 5 8 9 4 9 2 10 9 6
Lukas Stankevicius 5 8 3 7 5 7 3 7 1 4 9
Jonas Stankevicius 6 2 1 6 6 3 2 7 10 7 10
Petras Petraitis 10 3 1 10 10 10 5 8 7 2 4
Darius Kavaliauskas 5 9 8 6 6 7 10 10 8 3 1
Mantas Petraitis 7 10 5 1 4 5 1 5 4 9 10
Antanas Kavaliauskas 1 10 10 9 10 5 4 1 2 7 3
Paulius Brazinskas 3 8 10 5 9 10 3 5 8 9 3
Jonas Kavolis 5 6 6 2 5 1 5 1 5 6 4
Tomas Stankevicius 4 5 7 6 3 9 8 8 3 8 5
Antanas Jonaitis 9 9 1 7 10 8 9 8 4 4 8
Lukas Jankauskas 9 3 4 7 5 3 2 5 7 2 9
Tomas Jankauskas 7 10 5 7 8 8 8 2 9 3 6
Antanas Brazinskas 8 2 1 9 8 6 1 4 4 10 3
Darius Kavolis 4 10 9 10 3 3 4 3 10 2 7
Antanas Kazlauskas 4 3 8 9 10 1 10 3 4 5 10
Jonas Petraitis 10 4 2 7 1 5 3 6 8 6 5
Kazys Kazlauskas 6 5 3 4 1 4 8 9 10 4 6
Tomas Stankevicius 2 2 8 8 9 6 5 2 4 3 7
Jonas Brazinskas 2 4 5 7 9 1 8 7 10 2 10
Marius Kavolis 5 5 10 10 4 2 6 2 3 10 10
Darius Jonaitis 7 3 10 2 2 1 8 3 8 4 8
Lukas Kazlauskas 6 3 10 10 1 6 3 6 5 5 6
Mantas Petraitis 8 1 5 6 9 8 6 6 10 9 3
Lukas Stankevicius 8 9 3 2 7 3 10 9 3 10 1
Paulius Stankevicius 4 9 4 6 3 9 1 8 9 3 8
Darius Kazlauskas 10 1 3 9 3 1 9 9 5 4 4
Kazys Jonaitis 8 1 4 5 10 3 3 8 8 1 7
Antanas Stankevicius 3 10 2 8 9 3 3 4 8 4 9
Antanas Brazinskas 9 5 10 2 4 10 3 6 7 1 4
Marius Kazlauskas 4 7 5 5 6 4 9 4 4 1 4
Kazys Kazlauskas 4 7 3 7 2 5 1 2 8 2 3
Marius Jankauskas 8 8 10 9 2 9 1 8 5 6 9
Jonas Jankauskas 3 1 6 8 8 3 10 10 10 5 4
Marius Petraitis 6 3 5 9 7 3 7 7 4 2 9
Darius Kazlauskas 4 4 6 2 9 5 8 3 3 4 3
Tomas Stankevicius 4 1 2 6 6 3 5 5 1 7 10
Paulius Petraitis 4 5 6 8 3 6 8 6 9 5 7
Lukas Petraitis 1 1 10 5 1 7 4 6 10 2 1
Lukas Kavaliauskas 3 4 1 3 3 10 10 6 10 10 8
Petras Zukauskas 2 10 1 10 6 4 7 6 6 4 2
Mantas Kazlauskas 3 7 1 10 5 7 2 1 10 10 9
Petras Kavaliauskas 7 9 10 1 1 10 10 7 10 6 7
Paulius Petraitis 5 7 3 7 8 9 4 6 3 4 9
Kazys Kazlauskas 3 2 2 10 5 10 10 8 2 4 9
Darius Stankevicius 1 8 5 4 5 3 5 6 8 6 4
Jonas Jonaitis 7 9 8 2 4 9 7 10 1 3 4
Marius Jankauskas 10 3 4 4 7 8 7 4 9 10 8
Kazys Kazlauskas 3 6 9 7 3 3 3 6 10 6 3
Mantas Kazlauskas 5 9 2 2 5 9 10 1 9 9 8
Tomas Jankauskas 5 3 8 10 9 2 1 4 8 2 4
Darius Zukauskas 3 2 5 1 4 8 1 1 9 10 4
Jonas Zukauskas 5 10 5 1 3 2 1 3 6 7 2
Paulius Brazinskas 10 3 4 3 4 2 3 9 3 3 5
Jonas Jankauskas 1 5 2 2 1 9 10 6 7 9 7
Mantas Zukauskas 7 1 6 9 2 3 8 5 9 4 9
Darius Zukauskas 4 4 5 2 6 9 1 5 8 9 8
Darius Zukauskas 9 3 4 8 9 2 1 5 3 6 1
Tomas Brazinskas 7 3 9 3 2 6 10 2 7 10 10
Mantas Petraitis 7 1 9 2 2 4 3 9 1 8 1
Lukas Petraitis 7 5 6 4 9 10 1 1 2 2 9
Kazys Jankauskas 1 10 6 9 10 8 9 2 6 5 2
Lukas Zukauskas 6 9 3 5 10 6 2 10 2 9 4
Lukas Brazinskas 5 9 6 5 10 10 9 8 1 2 4
Marius Stankevicius 2 1 3 7 9 4 2 8 8 6 6
Paulius Stankevicius 8 10 6 6 1 2 2 8 4 4 3
Paulius Kavolis 6 6 6 9 8 4 5 8 1 6 9
Paulius Kazlauskas 9 2 6 5 4 10 7 8 9 6 7
Kazys Kavaliauskas 2 8 1 10 9 5 2 10 3 3 7
Darius Zukauskas 8 5 3 8 10 6 10 8 2 7 1
Lukas Kavolis 6 6 10 3 3 3 4 2 8 8 8
Marius Jankauskas 8 2 10 3 7 8 2 9 1 8 10
Jonas Stankevicius 8 2 1 8 1 8 3 2 2 4 8
Antanas Kazlauskas 1 1 6 3 7 9 10 8 3 8 8
Kazys Stankevicius 2 9 7 8 1 1 4 9 3 2 5
Kazys Kavaliauskas 1 3 10 1 9 1 1 3 3 3 3
Darius Stankevicius 3 1 2 10 1 6 8 4 2 2 8
Petras Jankauskas 10 1 2 8 4 10 8 4 9 10 4
Paulius Jankauskas 2 7 7 5 5 4 10 8 4 2 3
Kazys Petraitis 1 8 4 10 8 10 1 6 3 2 8
Antanas Petraitis 4 8 6 10 9 6 2 1 1 5 1
Kazys Stankevicius 7 2 7 8 2 4 9 8 8 8 2
Darius Kazlauskas 4 10 4 6 6 10 7 3 9 2 5
Kazys Petraitis 2 2 10 3 10 1 10 1 9 6 5
Paulius Kavaliauskas 1 6 4 9 4 10 4 1 8 6 2
Mantas Kavaliauskas 5 8 10 9 4 9 3 3 3 6 9
Lukas Jankauskas 1 3 10 1 3 10 3 6 9 5 10
Lukas Kazlauskas 7 1 8 8 4 4 7 5 3 1 10
Jonas Stankevicius 2 8 4 2 7 4 6 3 7 6 1
Jonas Kavolis 9 7 9 6 4 8 1 2 2 3 2
Mantas Zukauskas 10 6 1 1 6 9 9 6 4 4 2
Lukas Kavolis 5 10 10 9 8 3 7 4 7 7 6
Antanas Zukauskas 1 8 5 6 6 8 2 2 1 3 8
Kazys Kavolis 9 2 6 1 1 4 4 3 3 7 8
Mantas Jankauskas 7 5 6 8 7 3 5 4 8 3 9
Jonas Jonaitis 6 9 10 9 3 3 9 6 4 8 8
Jonas Zukauskas 8 7 3 6 8 10 8 6 1 9 6
Marius Jankauskas 2 6 3 7 3 2 10 3 6 7 5
Paulius Stankevicius 1 7 9 7 1 10 2 6 6 5 9
Jonas Kavaliauskas 9 3 6 9 1 7 1 6 5 3 5
Lukas Kavolis 1 9 4 2 8 1 5 10 6 6 2
Marius Stankevicius 6 8 10 1 1 2 2 6 5 6 10
Mantas Kavolis 9 8 1 9 10 10 5 10 4 3 8
Tomas Petraitis 10 4 10 2 5 9 1 7 2 10 4
Petras Kavaliauskas 9 5 5 3 8 4 2 1 9 4 8
Tomas Jankauskas 6 1 3 9 4 10 8 5 7 4 10
Mantas Brazinskas 10 4 2 1 4 7 5 6 9 10 7
Petras Stankevicius 9 10 8 5 9 8 3 7 7 9 6
Paulius Jankauskas 1 9 6 9 7 9 4 8 2 10 8
Marius Kavolis 7 6 4 7 1 7 2 9 3 1 3
Lukas Jonaitis 7 10 3 8 3 10 4 5 9 1 2
Antanas Stankevicius 1 10 7 4 3 3 4 9 2 2 9
Kazys Petraitis 7 7 3 8 9 5 8 7 5 8 7
Mantas Jankauskas 10 5 5 2 1 1 2 2 10 1 6
Marius Jankauskas 8 3 9 2 2 2 1 2 1 2 6
Tomas Kazlauskas 1 8 6 2 9 2 8 4 4 2 4
Paulius Zukauskas 8 9 9 6 7 4 5 4 5 9 4
Paulius Stankevicius 4 5 2 7 5 3 2 7 6 1 10
Antanas Kazlauskas 9 3 6 7 8 8 1 4 2 5 3
Petras Petraitis 3 8 6 2 3 7 7 10 10 6 8
Kazys Petraitis 4 8 10 6 4 8 10 9 10 8 2
Mantas Jonaitis 3 3 5 1 9 4 5 9 7 10 6
Darius Brazinskas 2 9 5 7 7 2 3 10 3 6 10
Paulius Petraitis 10 3 4 7 10 5 4 2 1 10 3
Antanas Stankevicius 8 4 8 10 7 8 8 10 6 10 10
Kazys Zukauskas 9 7 5 6 2 3 7 9 7 3 10
Paulius Stankevicius 1 7 9 9 2 5 6 9 1 2 3
Antanas Stankevicius 6 10 6 9 3 2 1 4 3 9 6
Antanas Kazlauskas 10 8 4 5 1 5 9 4 4 7 7
Petras Zukauskas 10 2 5 2 2 4 4 7 7 5 1
Tomas Kavolis 4 8 5 4 3 6 8 3 2 8 10
Kazys Kavaliauskas 6 4 8 5 2 8 3 1 3 6 1
Mantas Stankevicius 5 5 9 6 3 6 10 1 8 10 9
Jonas Jonaitis 7 2 9 1 10 2 4 6 5 4 2
Antanas Brazinskas 6 3 3 2 9 10 7 4 5 9 6
Marius Kazlauskas 2 7 2 9 7 3 6 8 2 8 5
Antanas Zukauskas 6 9 4 7 1 6 9 1 3 1 9
Tomas Petraitis 10 7 10 3 3 2 2 1 9 6 1
Mantas Kavaliauskas 6 2 9 7 7 10 7 7 2 10 1
Lukas Kazlauskas 5 8 1 3 3 2 3 5 4 7 10
Jonas Kavolis 10 1 8 5 8 8 6 2 10 10 9
Kazys Zukauskas 5 2 7 4 4 3 4 5 7 1 2
Petras Stankevicius 4 2 3 2 4 7 3 8 5 8 6
Darius Zukauskas 4 3 2 8 2 3 2 10 7 4 4
Lukas Brazinskas 3 9 4 5 6 7 7 6 8 10 1
Darius Kazlauskas 6 6 6 6 3 5 1 8 4 9 3
Lukas Kavaliauskas 9 2 2 1 5 8 9 4 8 8 1
Darius Brazinskas 10 10 4 8 4 10 7 7 6 10 8
Petras Jonaitis 5 2 4 3 8 3 7 4 9 7 5
Mantas Kavaliauskas 4 7 2 6 4 5 1 7 4 4 2
Antanas Jonaitis 9 2 8 3 6 5 7 2 3 7 7
Darius Brazinskas 10 7 1 2 7 5 9 10 10 3 2
Kazys Kavolis 5 4 9 6 1 2 10 4 5 8 5
Jonas Petraitis 2 2 9 1 6 10 1 5 10 6 4
Darius Kavolis 5 10 9 4 1 7 8 2 1 5 10
Lukas Zukauskas 10 2 9 1 10 6 4 4 1 6 4
Antanas Petraitis 4 2 7 9 9 6 6 5 1 2 3
Paulius Kavolis 4 10 7 5 6 8 6 5 8 7 5
Petras Zukauskas 8 5 1 5 4 4 2 10 6 4 7
Darius Zukauskas 1 9 2 7 4 3 6 1 8 7 8
Paulius Kazlauskas 8 10 3 5 7 8 6 9 6 5 8
Mantas Petraitis 8 9 5 1 3 1 9 8 3 1 3
Lukas Kavolis 2 7 2 9 1 5 2 4 3 1 8
Kazys Jankauskas 4 6 6 2 10 4 6 1 9 3 8
Tomas Petraitis 5 7 9 6 10 1 7 5 4 2 1
Mantas Zukauskas 2 2 3 6 2 6 9 8 1 4 4
Tomas Stankevicius 3 7 5 3 3 2 8 9 8 10 1
Lukas Kavaliauskas 8 10 6 10 9 5 7 8 6 9 5
Jonas Stankevicius 1 4 10 1 6 6 4 5 6 4 2
Antanas Kavaliauskas 6 6 4 3 1 9 10 3 9 9 2
Paulius Zukauskas 8 10 10 9 5 8 7 1 9 9 7
Petras Zukauskas 3 3 5 10 8 3 4 9 9 7 4
Antanas Jankauskas 8 10 6 4 3 10 6 10 4 7 10
Lukas Jonaitis 6 3 1 3 2 3 10 10 2 9 4
Darius Kavaliauskas 4 7 1 4 7 8 7 5 1 7 1
Kazys Jonaitis 2 5 2 9 7 4 1 6 4 10 3
Marius Jonaitis 2 1 1 7 6 5 9 9 1 8 8
Mantas Kavaliauskas 2 1 9 4 1 7 1 4 1 5 7
Jonas Jankauskas 3 4 1 9 5 2 6 4 7 10 9
Petras Kavaliauskas 9 6 8 2 5 3 4 6 5 5 2
Jonas Petraitis 2 3 10 10 9 9 8 7 5 4 8
Antanas Kazlauskas 2 8 5 4 4 4 6 5 7 5 4
Darius Petraitis 6 7 1 7 10 7 7 2 10 5 5
Mantas Jankauskas 4 2 2 1 10 2 4 2 7 10 3
Kazys Kavolis 1 7 4 2 5 3 10 10 10 5 1
Antanas Zukauskas 1 7 5 8 4 5 9 9 1 6 8
Lukas Kavaliauskas 7 9 5 2 8 2 6 7 9 5 4
Darius Kazlauskas 3 9 7 6 6 4 4 5 10 9 6
Lukas Stankevicius 7 5 2 3 9 7 9 4 1 9 2
Antanas Stankevicius 9 8 6 5 8 3 6 8 3 5 5
Jonas Jonaitis 6 1 2 1 9 7 10 10 9 6 6
Antanas Kazlauskas 3 9 6 8 5 3 9 6 4 2 2
Lukas Kavolis 10 7 1 8 1 7 2 3 7 9 7
Paulius Brazinskas 3 1 5 10 2 5 9 2 5 7 3
Mantas Brazinskas 7 3 5 3 4 8 2 9 1 10 5
Paulius Zukauskas 5 3 10 3 1 5 5 7 1 8 8
Mantas Brazinskas 3 6 1 3 6 9 6 10 6 3 1
Marius Jonaitis 1 5 10 4 6 1 2 3 8 5 1
Kazys Stankevicius 9 10 2 8 2 7 7 9 8 6 5
Kazys Kavolis 1 3 3 10 1 3 10 7 1 1 1
Kazys Kavaliauskas 4 7 7 9 2 1 1 7 3 4 2
Paulius Kavaliauskas 6 9 4 9 1 8 2 7 1 2 1
Lukas Brazinskas 5 2 7 4 7 7 4 3 5 3 6
Tomas Stankevicius 1 10 3 7 3 4 7 6 6 5 6
Kazys Brazinskas 5 7 1 9 1 6 9 3 10 7 5
Marius Jankauskas 3 6 2 9 7 6 3 8 9 8 5
Tomas Kazlauskas 8 9 7 10 9 8 7 5 7 6 8
Darius Kazlauskas 1 2 1 10 3 5 5 9 5 6 10
Mantas Kavolis 9 3 4 9 7 8 1 10 10 3 3
Kazys Stankevicius 7 5 6 10 5 1 2 2 10 6 4
Mantas Kavaliauskas 1 7 4 3 8 2 9 3 7 6 7
Jonas Jonaitis 6 3 5 7 5 3 2 9 1 2 7
Paulius Kavolis 9 3 2 2 1 1 2 5 3 3 1
Petras Jankauskas 9 9 3 5 9 1 10 8 2 6 9
Darius Stankevicius 1 5 3 2 1 4 1 3 6 3 1
Marius Jonaitis 4 5 4 2 10 4 7 2 8 4 10
Lukas Kazlauskas 1 6 10 8 8 8 4 6 3 10 3
Tomas Stankevicius 2 4 10 3 7 10 9 5 5 4 8
Marius Jonaitis 7 6 8 6 6 9 5 5 3 7 5
Petras Stankevicius 3 9 9 6 6 10 10 5 8 6 3
Lukas Kazlauskas 8 1 10 3 6 2 5 5 4 6 2
Mantas Jankauskas 6 7 1 6 5 1 8 4 4 3 6
Tomas Petraitis 9 3 2 8 6 6 2 4 8 4 10
Petras Zukauskas 7 9 7 3 8 7 5 6 3 10 9
Darius Brazinskas 2 3 10 5 8 4 2 6 3 2 6
Jonas Zukauskas 4 2 7 8 9 10 7 5 5 4 1
Paulius Brazinskas 7 8 9 8 3 10 2 7 5 9 2
Mantas Jankauskas 5 9 5 4 8 3 7 6 8 2 2
Jonas Stankevicius 7 3 9 5 3 9 1 10 2 3 1
Darius Kavolis 7 1 3 1 7 8 1 7 3 3 9
Mantas Brazinskas 7 6 9 7 9 10 3 3 2 1 2
Antanas Zukauskas 7 4 7 6 4 7 5 8 3 8 5
Kazys Jonaitis 10 10 2 9 1 7 1 1 9 4 9
Marius Stankevicius 5 10 6 6 1 10 2 7 2 8 8
Petras Jankauskas 8 8 7 5 9 7 5 10 4 7 6
Antanas Kazlauskas 8 7 9 4 10 1 5 7 6 4 3
Mantas Jonaitis 6 9 8 2 7 8 1 3 7 5 9
Jonas Jankauskas 3 9 7 4 10 5 7 6 1 8 7
Darius Kavolis 9 8 10 3 8 1 3 2 2 3 1
Lukas Brazinskas 7 3 4 7 7 5 5 3 10 1 2
Paulius Kazlauskas 4 6 7 5 2 5 1 6 7 10 10
Jonas Kavaliauskas 1 3 4 3 8 2 1 3 6 7 4
Lukas Petraitis 6 6 4 10 8 8 10 4 7 6 5
Darius Kavaliauskas 6 8 6 9 10 5 8 5 7 5 10
Marius Kazlauskas 7 10 10 10 5 1 1 10 6 2 8
Paulius Stankevicius 8 1 4 8 10 10 9 1 5 1 5
Lukas Jankauskas 10 5 3 7 1 4 9 4 6 4 5
Kazys Zukauskas 6 10 10 5 10 1 8 8 6 4 4
Jonas Kazlauskas 1 10 10 2 2 2 1 4 4 1 6
Paulius Brazinskas 5 7 2 10 1 1 5 5 7 5 6
Petras Stankevicius 2 1 6 1 9 5 6 7 3 2 2
Jonas Stankevicius 6 9 10 3 1 1 5 8 2 3 2
Marius Stankevicius 5 5 8 1 3 6 9 9 4 7 10
Kazys Brazinskas 8 8 1 6 6 5 1 1 6 9 10
Marius Zukauskas 7 5 2 5 3 8 6 9 2 1 3
Paulius Kavaliauskas 6 4 6 4 10 9 9 9 8 3 6
Mantas Jonaitis 7 5 4 10 3 2 2 8 8 6 3
Kazys Brazinskas 7 8 1 5 2 1 1 7 8 7 7
Petras Kavolis 5 7 8 1 10 1 5 9 4 10 9
Jonas Kazlauskas 10 4 7 1 2 7 2 3 4 1 6
Marius Zukauskas 2 7 10 4 1 6 1 5 7 3 10
Lukas Jankauskas 6 7 9 1 8 3 8 6 5 10 3
Petras Kavaliauskas 8 5 6 9 5 6 4 10 10 4 10
Darius Petraitis 5 8 4 10 6 10 5 5 3 3 1
Mantas Stankevicius 5 2 6 10 7 5 3 5 5 5 8
Paulius Kazlauskas 3 4 6 8 8 5 3 1 2 8 7
Jonas Stankevicius 3 6 7 1 9 8 1 6 3 6 7
Antanas Kavolis 5 8 2 9 9 6 4 4 1 2 8
Mantas Stankevicius 2 9 7 6 6 7 10 5 8 10 3
Antanas Jankauskas 1 1 7 10 8 6 6 5 2 10 4
Darius Petraitis 9 6 10 6 3 10 5 7 5 5 6
Tomas Jankauskas 2 1 3 4 5 4 1 1 7 9 5
Paulius Jankauskas 1 9 5 7 3 6 7 10 9 4 3
Paulius Stankevicius 3 6 10 10 1 1 2 3 4 8 9
Paulius Brazinskas 6 10 1 10 10 4 5 9 7 1 5
Jonas Jonaitis 10 6 6 5 2 9 3 9 3 10 4
Paulius Kavolis 10 7 1 10 2 8 6 2 10 9 10
Antanas Jankauskas 8 4 10 7 4 1 2 1 1 1 3
Darius Brazinskas 10 7 7 1 1 1 4 5 4 2 8
Jonas Brazinskas 10 8 5 6 4 6 6 6 7 2 1
Paulius Jankauskas 5 8 9 4 2 10 6 9 4 9 4
Darius Jankauskas 4 9 9 3 1 5 8 10 10 4 8
Marius Kavaliauskas 3 6 7 4 9 9 3 1 1 6 8
Darius Kavaliauskas 7 3 2 8 5 1 3 8 8 2 7
Mantas Zukauskas 9 9 1 4 5 6 6 6 2 5 2
Petras Jankauskas 9 6 8 10 3 1 2 8 10 9 9
Mantas Kavolis 10 9 4 5 9 9 6 9 6 5 4
Jonas Petraitis 8 7 5 4 1 9 4 5 2 10 3
Lukas Jonaitis 6 7 8 3 7 10 10 5 9 9 9
Kazys Jankauskas 4 9 5 2 6 1 1 10 6 8 7
Petras Zukauskas 10 7 8 5 9 7 2 9 1 10 2
Marius Kavaliauskas 5 9 7 4 5 3 3 4 7 9 1
Mantas Kavaliauskas 5 2 8 10 9 1 1 9 5 7 7
Jonas Kavaliauskas 2 8 6 2 1 9 10 3 7 7 3
Lukas Brazinskas 5 7 1 10 4 3 6 1 6 3 1
Marius Petraitis 5 9 5 10 10 2 8 8 9 6 2
Darius Kazlauskas 10 9 6 10 9 2 7 1 6 8 1
Lukas Petraitis 5 6 8 7 4 4 5 8 6 6 5
Jonas Jankauskas 3 9 3 6 2 1 7 5 9 4 6
Mantas Brazinskas 4 6 6 8 5 8 1 7 9 3 3
Kazys Kazlauskas 5 4 7 2 10 9 9 6 1 6 3
Antanas Jonaitis 10 7 4 4 6 9 7 9 8 9 6
Marius Kazlauskas 9 5 9 8 10 5 5 7 8 10 6
Jonas Stankevicius 9 7 3 10 4 10 6 2 2 10 2
Antanas Kazlauskas 9 9 1 7 5 2 10 1 4 8 10
Lukas Kavolis 7 5 4 4 3 5 9 2 7 5 10
Kazys Kavolis 2 9 7 6 1 1 7 1 7 3 5
Paulius Petraitis 2 1 8 4 3 3 4 5 2 6 2
Mantas Jonaitis 10 1 4 8 8 3 1 4 9 1 8
Mantas Stankevicius 6 3 3 4 10 7 1 8 10 1 7
Mantas Jankauskas 2 8 5 5 2 1 6 5 1 4 4
Petras Jankauskas 4 3 7 6 4 3 6 7 2 10 6
Darius Kavolis 2 10 1 10 8 5 4 4 8 3 7
Tomas Kavolis 9 1 10 1 8 6 10 7 1 3 5
Darius Stankevicius 1 5 5 10 6 5 6 6 5 1 8
Darius Stankevicius 6 9 3 2 3 4 5 7 7 8 3
Lukas Jankauskas 6 1 6 2 3 1 1 6 8 2 6
Lukas Jankauskas 4 9 9 8 3 4 5 7 3 9 4
Tomas Stankevicius 1 8 4 3 1 8 5 9 1 7 5
Antanas Kavaliauskas 6 6 4 8 6 5 5 5 1 3 6
Mantas Stankevicius 1 4 10 10 5 4 1 9 5 4 2
Antanas Brazinskas 7 3 1 1 3 7 10 10 1 10 3
Mantas Kazlauskas 2 6 8 7 3 3 1 3 1 5 9
Kazys Stankevicius 10 7 1 5 9 6 9 3 5 1 6
Antanas Jankauskas 5 1 5 9 5 6 4 5 6 10 8
Marius Kazlauskas 6 8 4 8 6 10 8 10 6 1 3
Paulius Petraitis 10 7 4 3 5 8 9 7 1 5 4
Tomas Petraitis 9 5 7 1 8 6 2 3 9 1 7
Tomas Stankevicius 5 7 5 10 4 3 10 1 9 2 9
Darius Kavolis 4 6 4 4 9 6 5 7 7 10 4
Jonas Zukauskas 4 9 5 9 1 2 8 8 6 5 1
